"Municipality","Code","Porcentage of population living with at most 1/2 minimum wage (%)","Employed population (%)","Natural forests (%)","Households with access to electric energy (%)","Planted or destined to harvest area (%)","Maximum capcacity of reservoirs (m^3)","Nature conservation unit demarcated area(%)"
"Acari",2400109,0.435,0.1162,0.2996,0.9911,0.00317189751665205,44421480,0.0025309798507708
"Açu",2400208,0.447,0.1303,0.4766,0.9746,0.0168407012869313,2450423644,0.00168338905758753
"Afonso Bezerra",2400307,0.515,0.1137,0.4289,0.9703,0.0174251248453845,16018308,0
"Água Nova",2400406,0.551,0.0823,0.6306,0.9987,0.0703253249532337,0,0
"Alexandria",2400505,0.504,0.0773,0.3046,0.9725,0.0163301643156937,0,0
"Almino Afonso",2400604,0.507,0.0689,0.6719,0.9372,0.0265404761719449,0,0
"Alto do Rodrigues",2400703,0.429,0.2519,0.4188,0.9887,0.132540564039624,0,0
"Angicos",2400802,0.492,0.1091,0.6434,0.9705,0.00700946263976633,0,0
"Antônio Martins",2400901,0.539,0.0543,0.4208,0.9568,0.0368928499507697,0,0
"Apodi",2401008,0.519,0.1239,0.4862,0.9736,0.0478258556116848,599712000,0
"Areia Branca",2401107,0.45,0.1724,0.6173,0.9826,0.0595256218981214,0,0.116253705464511
"Arês",2401206,0.51,0.2162,0.1353,0.9825,0.721660368534526,0,0.14602571317259
"Baía Formosa",2401305,0.479,0.3464,0.3486,0.9722,0.827386598168962,0,0.0823891645520518
"Baraúna",2401404,0.468,0.1663,0.416,0.9402,0.127209052285294,0,0.0575096707933563
"Barcelona",2401453,0.506,0.1349,0.2092,0.9696,0.0124170798575912,0,0
"Bento Fernandes",2401503,0.523,0.0859,0.3648,0.9822,0.0110313296407176,0,0
"Bodó",2401602,0.524,0.1939,0.6189,0.9837,0.154485370116919,0,0
"Bom Jesus",2401651,0.491,0.0642,0.0335,0.9793,0.21911297756837,0,0
"Brejinho",2401701,0.462,0.0879,0.0016,0.977,0.0446681642683923,0,0
"Caiçara do Norte",2401800,0.526,0.1173,0.6211,0.9751,0.115913405001016,0,0
"Caiçara do Rio do Vento",2401859,0.516,0.0919,0.6817,0.9928,0.00172506192972328,0,0
"Caicó",2401909,0.379,0.1855,0.4921,0.9921,0.000767577274617265,75839349,0
"Campo Grande",2402006,0.517,0.0544,0.4522,0.9861,0.00991621909050444,6708331,0
"Campo Redondo",2402105,0.533,0.0695,0.7506,0.989,0.0429077076311006,0,0
"Canguaretama",2402204,0.507,0.1008,0.2114,0.9618,0.680075313315159,0,0.156954541009258
"Caraúbas",2402303,0.496,0.1274,0.6264,0.9718,0.0199312615439059,18538109,0
"Carnaúba dos Dantas",2402402,0.382,0.1686,0.6729,0.9758,0.00406720321211441,0,0
"Carnaubais",2402501,0.507,0.0794,0.3765,0.9559,0.023056490890103,0,0.0106692025350953
"Ceará-Mirim",2402600,0.461,0.1009,0.2083,0.978,0.116139736892217,0,0.00809655896244096
"Cerro Corá",2402709,0.512,0.0843,0.6646,0.9748,0.227030119480135,0,0
"Coronel Ezequiel",2402808,0.528,0.0567,0.8296,0.9672,0.0488992030882348,0,0
"Coronel João Pessoa",2402907,0.524,0.0641,0.7091,0.9913,0.0609601567155489,0,0
"Cruzeta",2403004,0.428,0.133,0.5023,0.9653,0.0041582782699534,23545745,0
"Currais Novos",2403103,0.442,0.1456,0.3026,0.9683,0.00310720217120661,10321600,0
"Doutor Severiano",2403202,0.543,0.0642,0.333,0.9685,0.0820212191597963,0,0
"Encanto",2403301,0.483,0.0795,0.4007,0.9729,0.0306428586699099,5192538,0
"Equador",2403400,0.488,0.0668,0.7605,0.9409,0.0120883375033704,0,0
"Espírito Santo",2403509,0.524,0.0788,0.2805,0.9685,0.0107588052715198,0,0.121731032553483
"Extremoz",2403608,0.432,0.1332,0.3399,0.963,0.0394521220319056,11019525,0.120192727924055
"Felipe Guerra",2403707,0.493,0.095,0.5334,0.9676,0.0169543464340595,0,0
"Fernando Pedroza",2403756,0.529,0.1,0.6782,0.9451,0.00399136119760793,0,0
"Florânia",2403806,0.482,0.0917,0.7364,0.9732,0.0376406323231881,0,0
"Francisco Dantas",2403905,0.49,0.1,0.3187,0.9786,0.0258368733323971,0,0
"Frutuoso Gomes",2404002,0.508,0.0672,0.6787,0.9819,0.0835335957784365,0,0
"Galinhos",2404101,0.488,0.2349,0.6126,0.9767,0.00655470412680075,0,0
"Goianinha",2404200,0.467,0.1605,0.1886,0.9156,0.396878906378125,0,0.0647850259258681
"Governador Dix-Sept Rosado",2404309,0.519,0.1112,0.6434,0.9763,0.0387048546301092,0,0
"Grossos",2404408,0.484,0.1586,0.3108,0.9843,0.0416150441951769,0,0
"Guamaré",2404507,0.44,0.2219,0.4915,0.9585,0.0820113615551027,0,0.0524003892523112
"Ielmo Marinho",2404606,0.533,0.0722,0.2702,0.9491,0.0721966181247129,0,0
"Ipanguaçu",2404705,0.471,0.1075,0.2661,0.9774,0.0498941424223204,15017379,0
"Ipueira",2404804,0.375,0.1254,0.7629,0.9902,0.00430588371608725,0,0
